in order to	to
at this point in time	now
due to the fact that	because
the fact that	(rewrite)
it is worth noting that	(delete)
I'd be happy to	(delete)
basically	(delete unless quantitative)
actually	(delete unless quantitative)
really	(delete unless quantitative)
very	(delete unless quantitative)
quite	(delete unless quantitative)
just	(delete unless quantitative)
simply	(delete unless quantitative)
as a matter of fact	(delete)
in the event that	if
for the purpose of	for
with regard to	about
in connection with	about
in spite of the fact that	although
is able to	can
has the ability to	can
make a decision	decide
take into consideration	consider
until such time as	until
in close proximity to	near
in the near future	soon
despite the fact that	although
at the present time	now
in an effort to	to
on a regular basis	regularly
