end result	result
advance planning	planning
close proximity	proximity
completely eliminate	eliminate
past history	history
future plans	plans
basic fundamentals	fundamentals
free gift	gift
final outcome	outcome
new innovation	innovation
unexpected surprise	surprise
added bonus	bonus
personal opinion	opinion
true facts	facts
each and every	each
first and foremost	first
null and void	void
safe haven	haven
brief summary	summary
foreign imports	imports
major breakthrough	breakthrough
mutual cooperation	cooperation
original source	source
period of time	time
reason why	reason
refer back	refer
repeat again	repeat
still remains	remains
sum total	total
whether or not	whether
absolutely essential	essential
actual experience	experience
advance warning	warning
armed gunman	gunman
close scrutiny	scrutiny
collaborate together	collaborate
completely full	full
consensus of opinion	consensus
current trend	trend
depreciate in value	depreciate
different kinds	kinds
drop down	drop
empty space	space
exact same	same
fall down	fall
few in number	few
filled to capacity	full
first began	began
follow after	follow
general public	public
grow in size	grow
honest truth	truth
hot water heater	water heater
important essentials	essentials
individual person	person
join together	join
later time	later
local resident	resident
merge together	merge
mix together	mix
new beginning	beginning
old adage	adage
open up	open
past memories	memories
plan ahead	plan
protest against	protest
raise up	raise
return back	return
same identical	identical
shorter in length	shorter
small in size	small
temporary reprieve	reprieve
unexpected emergency	emergency
usual custom	custom
visible to the eye	visible
warn in advance	warn
